,0,1,2,3,4
0,4,,2,4,5
1,Раздел |. Прибыли и убытки,,,,
2,1,"Торговые и инвестиционные доходы, в том числе:",,3 895 709,4 051 338
3,2,"доходы за вычетом расходов (расходы за вычетом доходов) от операций сфинансовыми инструментами, в обязательном порядке классифицируемыми какоцениваемые по справедливой стоимости через прибыль или убыток",32,1 974 595,2880 490
4,4,процентные доходы,34,1 751 167,1 056 649
5,5,дивиденды и доходы от участия,,210 725,144 295
6,10,"доходы за вычетом расходов (расходы за вычетом доходов) по восстановлению(созданию) оценочных резервов под ожидаемые кредитные убытки пофинансовым активам, оцениваемым по амортизированной стоимости",37,(34 828),10 846
7,13,доходы за вычетом расходов (расходы за вычетом доходов) от операций синостранной валютой,39,(5 950),(40 942)
8,15,Выручка от оказания услуг и комиссионные доходы,41,875 672,706 000
9,16,Расходы на персонал,42,(2 617 459),(2625 521)
10,17,Прямые операционные расходы,43,(498 487),(369 053)
11,18,Процентные расходы,44.,(885 397),(469 567)
12,20,Общие и административные расходы,46,(266 803),(279 292)
13,22,Прочие доходы,47,4 000,23 528
14,88 _,Прочие расходы,47,_(399),4139
15,24,Прибыль (убыток) до налогообложения,,506 836,1 033 294
16,25,"Доход (расход) по налогу на прибыль, в том числе:",48,43918,_ (164 334)
17,26 _,доход (расход) по текущему налогу на прибыль,48,(127 924),(180 174)
18,м,доход (расход) по отложенному налогу на прибыль,48,84 006,18 840
19,29,Прибыль (убыток) после налогообложения,,"462 918,",871 959
20,68,Итого совокупный доход (расход) за отчетный период,"Номер Примечания За 12 месяцев За 12 месяцевстроки Наименование показателя НЫ 2021 _ 2020г.Я я в | 4 5Раздел 1. Прибыли и убытки1 Торговые и инвестиционные доходы, в том числе: 3 895 709 4 051 3382 доходы за вычетом расходов (расходы за вычетом доходов) от операций сфинансовыми инструментами, в обязательном порядке классифицируемыми как 32оцениваемые по справедливой стоимости через прибыль или убыток 1 974 595, 2880 4904 процентные доходы 34 1 751 167 1 056 6495 дивиденды и доходы от участия 210 725] 144 29510 доходы за вычетом расходов (расходы за вычетом доходов) по восстановлению |(созданию) оценочных резервов под ожидаемые кредитные убытки по 37финансовым активам, оцениваемым по амортизированной стоимости (34 828) 10 846,13 доходы за вычетом расходов (расходы за вычетом доходов) от операций с 39 |иностранной валютой | (5 950) (40 942)15 Выручка от оказания услуг и комиссионные доходы 41 875 672 706 00016 Расходы на персонал 42 (2617 459) (2 625 521)17 (Прямые операционные расходы 43 (498 487) (369 053)18 Процентные расходы 44 (885 397) (469 567)20 |Общие и административные расходы 46 (266 803) (279 292)22 Прочие доходы 47 4 000 23 52823 Прочие расходы 47 (399) {4 139)24 Прибыль (убыток) до налогообложения 506 836, 1 033 29425 Доход (расход) по налогу на прибыль, в том числе: 48 (43 918} _ (161 334)26 — доход (расход) по текущему налогу на прибыль 48 (127 924) (180 174)27 доход (расход) по отложенному налогу на прибыль 48 84 006 18 84029 Прибыль (убыток) после налогообложения 462 918, 871 95968 (Итого совокупный доход (расход) за отчетный период 462 918] 871 959",7,462 918
21,,,,,
