,0,1,2,3,4
0,,,,,
1,"Раздел |. Активы
",,,,
2,,"Денежные средства
",,"1 250 575
","2 794 590
"
3," 
"," 

Финансовые активы, оцениваемые по справедливо
стоимости через

 
",,"2755 164
","2255 772
"
4," 
","финансовые активы, в обязательном порядке

классифицируемые как оцениваемые по справедливой
стоимости через прибыль или убыток

 
",,"2755 164
","2255 772

 
"
5,,"финансовые активы, классифицируемые как
оцениваемые по справедливой стоимости через

прибыль или убыток по усмотрению некредитной
финансовой организации

 
",,,
6," 
","Финансовые активы, оцениваемые по справедливой
стоимости через прочии совокупный доход, в том числе
",,"6 996
","6 996
"
7,,"долговые инструменты
",,,
8,,"левые инструменты
",,"6 996
","6 996
"
9,,"Финансовые активы, оцениваемые по амортизированн:
стоимости, в том числе
",,"20 775 479
","23 895 617
"
10,,"средства в кредитных организациях и банка:
нерезидентах
","10
","12 776 415
","16 535 128
"
11,,"заимы выданные и чие размещенные средства
"," 
","7 736 113
","7 211 413
"
12,,"биторская задолженность
"," 
","262 951
","149 076
"
13,,"Инвестиции в ассоциированные иятия
",,,
14,,"Инвестиции в совместно контролируемые приятия
"," 
",,
15,," 

Инвестиции в доч. иИЯТИЯ
",,,
16,"15
","Активы (активы выбывающих групп),
класси ванные как предназначенные для п

     
","16
",,
17,,"Инвестиционное им ество
"," 
",,
18,,"Нематериал Мьные активы
",,"59 646
","43 163
"
19,,"Основные средства
",,"417 425
","500 446
"
20,,"Требования по текущему налогу на прибыль
",,"62 910
","11 049
"
21,,"Отложенные налоговые активы
",,,"142 412
"
22,," 
",,"96 097
","102 660
"
23,,"Итого активов
",,,"29 752 705
"
24,"Раздел |. Обязательства
",,,,
25,"23
","Финансовые обязательства, оцениваемые по

справедливой стоимости через прибыль или убыток, в
том числе:

 
",,"487 071
","46 963
"
26," 
","финансовые обязательства, в обязательном порядке

классифицируемые как оцениваемые по справедливой
стоимости через прибыль или убыток

 
"," 
","487 071
","46 963
"
27,"25
"," 

финансовые обязательства, классифицируемые как
оцениваемые по справедливой стоимости через
прибыль или убыток по усмотрению некредитной
финансовой организации

 
","22
",,
