,0,1,2,3
0,,,,
1,,"МСФО (143) 1
","Номер лицензии

 
"," 

Лицензия профессионального участника рынка ценных
бумаг № 177-02896-100000
Лицензия профессионального участника рынка ценных
бумаг № 177-03006-010000
Лицензия профессионального участника рынка ценных
бумаг № 177-04357-000100

 
"
2," 
","МСФО (143) 1
","Срок деиствия лицензии
","Без ограничения срока деиствия
"
3,,"МСФО (143) 1
","Дата выдачи лицензии

 
"," 

27 ноября 2000 года
27 ноября 2000 года
27 декабря 2000 года

 
"
4,,"МСФО (143) 1
","Виды деятельности, на
осуществление которых выдана

лицензия

 
","На осуществление брокерской деятельности
На осуществление дилерской деятельности

На осуществление депозитарной деятельности

 
"
5," 
","МСФО (143) 1

 
","Информация о возобновлении

действия лицензии

 
","Не применимо
"
6,,"МСФО (143) 1

 
","Организационно-правовая форма

некредитной финансовой организации

 
","Общество с ограниченной ответственностью

 
"
7,,"МСФО (14$) 1,

МСФО (145) 24

 
","Наименование материнского
предприятия и наименование

конечного владельца (бенефициара)

 
","- АТОМ АМАМСАЕ НОЕГОМ@ (АТОН ФАЙНЭНШЛ
ХОЛДИНГ),
- Юрьев Евгений Леонидович,

- Казаков Кирилл Валериевич,
- Заикин Андрей Александрович

 
"
8,,"МСФО (14$) 1,

МСФО (145) 24

 
","Местонахождение материнского
предприятия группы, в состав которой

входит некредитная финансовая
организация

 
"," 

Р.О. Вох 31119, Сгапа Рамоп, НЮ!сиз \М/ау, 802
\№ез{ Вау Воаа, Сгап@ Саутап, КУ\У1-1205, Саутап
1$1апа$

 
"
9,,"МСФО (143) 1
","Количество филиалов некредитной
финансовой организации, открытых

на территории Российской Федерации

 
",
10,"10
","МСФО (143) 1
","Количество филиалов некредитной
финансовой организации, открытых

на территории иностранных
государств

 
","Не применимо
"
11,"11
","МСФО (143) 1
","Места нахождения филиалов
некредитной финансовой

организации, открытых на территории
иностранных государств

 
","Не применимо

 
"
12,"12
","МСФО (143) 1
","Юридический адрес некредитной

финансовой организации

 
","115035, Российская Федерация, город Москва,
Овчинниковская набережная, дом 20, строение 1, этаж

 

11, офис №39
"
13,"13
","МСФО (143) 1
","Фактический адрес некредитной

финансовой организации

 
"," 

115035, Российская Федерация, город Москва,
Овчинниковская набережная, дом 20, строение 1, этаж
11, офис №39

 
"
14," 
","МСФО (143) 1

 
","Численность персонала некредитной

финансовой организации

 
","801
"
15,"15
"," 

МСФО (145) 21
","Валюта отчетности
","Российский рубль, 643
"
