,0,1,2,3,4,5,6
0,,,,,,,
1,"Раздел |. Прибыли и убытки
",,,,,,
2,,"Торговые и инвестиционные доходы, в том числе
",,"867 487
",,,
3,," 

доходы за вычетом расходов (расходы за вычетом
доходов) от операций с финансовыми
инструментами, в обязательном порядке
классифицируемыми как оцениваемые по
справедливой стоимости через прибыль или убыток

 
","32
","347 980
","224 818
","137 548
","(19 193)
"
4,,"доходы за вычетом расходов (расходы за вычетом
доходов) от операций с финансовыми активами,
классифицируемыми как оцениваемые по

справедливой стоимости через прибыль или убыток
по усмотрению некредитной финансовой
организации

 
","33
",,,,
5," 
","процентные доходы
",,"478 232
","748 869
",,
6," 
","дивиденды и доходы за вычетом расходов
(расходы за вычетом доходов) от участия

 
",,"3283
"," 
","389
",
7,," 

доходы за вычетом расходов (расходы за вычетом
доходов) от операций с долговыми инструментами,
оцениваемыми по справедливой стоимости через
прочий совокупный доход

 
","35
",,,,
8,,"доходы за вычетом расходов (расходы за вычетом
доходов) от операций с долевыми инструментами,

оцениваемыми по справедливой стоимости через
прочий совокупный доход

 
","36
",,,,
9,,"доходы за вычетом расходов (расходы за вычетом
доходов), возникающие в результате прекращения

признания финансовых активов, оцениваемых по
амортизированной стоимости

 
",,,"(3)
",,
10,,"доходы за вычетом расходов (расходы за вычетом
доходов), связанные с реклассификацией
финансовых активов, оцениваемых по

амортизированной стоимости, в категорию
финансовых активов, оцениваемых по
справедливой стоимости через прибыль или убыток

 
",,,,,
11,," 

доходы за вычетом расходов (расходы за вычетом
доходов) по восстановлению (созданию) резервов
под обесценение финансовых активов,
оцениваемых по амортизированной стоимости

 
","37
","3456
","18 926
","4 704
","3714
"
