,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0," 
",,,,,,,,,,,,,
1," 
","Оценочный резерв под ожидаемые кредитные

убытки по состоянию на начало отчетного
периода, в том числе:

 
",,,,,,,"7 283
",,,,"697
"," 
"
2," 
","финансовые активы, кредитные убытки по
которым ожидаются в течение 12 месяцев
",,,,,,,"7 283
"," 
",,"3092
","697
"," 
"
3,,"   

Поступление нансовых активо,

 
",,,,,,,"82 357
",,,,,"102 804
"
4," 
","финансовые активы, кредитные убытки по
которым ожидаются в течение 12 месяцев
",,,,,,,"82 357
"," 
",,"11 841
","8 594
","102 804
"
5," 
","Прекращение признания финансовых активо
том числ
",,,,,,,,,,,,
6," 
","финансовые активы, кредитные убытки по
которым ожидаются в течение 12 месяцев
",,,,,,,,"(2)
",,,,
7,,"Прочие изменения, в том числ.
",,,,,,,,,,,,
8,,"финансовые активы, кредитные убытки по
которым ожидаются в течение 12 месяцев
",,,,,,,"(429)
",,,"1 124
","445
",
9,"36
","Оценочный резерв под ожидаемые кредитные

убытки по состоянию на конец отчетного
периода, в том числе:

 
",,,,,,,"14 750
",,,"4 090
",,"20 818
"
10,,"финансовые активы, кредитные убытки по
которым ожидаются в течение 12 месяцев
",,,,,,,"14 750
"," 
",,"4090
","1966
","20 818
"
