,0,1,2,3,4,5
0,,,,,,
1," 
","Расходы на информационн
телекоммуникационные услуги
","353
","1075
","356
","1 061
"
2,," 
","34 074
","100 583
","36 974
","117 201
"
3," 
","Амортизация программного

обеспечения и прочих
нематериальных активов

 
","3382
","9 286
","2078
","6 464
"
4,,"Расходы по аре!
","17 746
","47 380
","12 992
","40 747
"
5," 
","Расходы по операциям с основными

средствами и нематериальными
активами

 
","1 031
","3025
","506
","2575
"
6,,"Расходы на профессиональные услуги
охрана, связь и другие

 
","8 201
","26 771
","8 125
","30 346
"
7,," 
",,,,
8,," 
","19 218
","45 355
","4 369
","13 436
"
9,,"Расходы на юридические и
консультационные услуги
","7 307
","23 915
"," 
","1 757
"
10,," 
",,"1 984
",,
11,," 
",,"2887
","1 105
","2 368
"
12,," 
",,"6 548
",," 
"
13,," 
",,"3 126
","8 359
","10 942
"
14,"15
","Расходы на услуги кредитных

 
","4 256
","11 971
","2802
","7 910
"
15,"16
","Расходы по уплате налого!
исключением налога на п

  
"," 
","426
","160
","499
"
16,," 
","60 797
","176 491
","48 520
","149 443
"
17,,"Итого
","160 484
","460 909
","128 934
","387 797
"
