,0,1,2,3,4,5,6,7,8,9
0,,,,,,,,,,
1," 
","Финансовые активы, оцениваемые по справедливой стоимости через прибыль или убыток. в том
числе
",,,,,,,"46 963
","46 963
"
2," 
","финансовые активы, в обязательном порядке классифицируемые как оцениваемые по справедливои
стоимости через прибыль или убыток

 
",,,,,,,"46 963
","46 963
"
3,,"Финансовые активы, оцениваемые по амортизированной стоимости, в том числ
",,,,,,,"9686 295
","9686 295
"
4,," 
",,,,,,,"3 038 682
","3 038 682
"
5,,"        

заимы выданные и чие размещенные с!
",,,,,,,"6 560 524
","6 560 524
"
6,,"дебиторская задолженность
",,,,,,,,"87 089
"
7,,"Прочие активы
",,,,,,,,
8,,"Финансовые обязательства оцениваемые по амортизированнои стоимости, в том числе
",,,,,,,"2825 146
","2 859 049
"
9,," 
",,,,,,,"1 727 664
","1 761 349
"
10,,"      

ты, заимы и чие привлеченные с
",,,,,,,"1 067 885
","1 068 103
"
11,," 
",,,,,,,,"29 597
"
12,,"Прочие обязательства
",,,,,,,"16 719
",
