,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0," 
",,,,,," 
",,,,,,,,,," 
",
1,"13
","Прочие распределения в пользу
акционеров (участников)
",,,,,,,,,,,,,,,,
2,,"Прочее движение резервов
",,,,,,,,,,,,,,,,
3,"15
"," 

Остаток на 3
пересмотренный

-2020 г.,
",,"165 000
","2 242 209

 
",,,,,,,,,,,,"118 235
",
4," 
","Остаток на 01.01.2021 г.
",,,"2 242 209
",,,,,,,,,,,,"(179 596)
",
5,"16
","Изменения вследствие
выявленных ошибок
",,,,,,,,,,,,,,,,
6," 
","Изменения вследствие
изменения учетнои политики
",,,,,,,,,,,,,,,,
7,"18
"," 

Остаток на 0
пересмотренный

.2021 г.,
",,"165 000
","2 242 209

 
",,,"5 572
",,,,,,,,,"(179 596)
",
8,"19
","Прибыль (убыток) после
налогообложения
",,,,,,,,,,,,,,,"650 948
","650 948
"
9,"20
","Прочий совокупный доход

(расход) за отчетный период, в
том числе:

 
",,,,,,,,,,,,,,,,
10,"21
","прочий совокупный доход
(расход), не подлежащий

переклассификации в состав
прибыли или убытка в

 
",,,,,,,,,,,,,,,,
11,"22
","прочий совокупный доход
(расход), подлежащий

переклассификации в состав
прибыли или убытка в
последующих периодах

 
",,,,,,,,,,,,,,,,
