,0,1,2,3,4
0,1,2,3,4,5
1,Раздел 1. Активы,,,,
2,,Ценежные средства.,5,2114 128,987 759
3,2,"Финансовые активы, оцениваемые по справедливой стоимостиЧиа пб иг ити чак",,42 315 560,8457 336
4,3,"‚финансовые активы, в обязательном порядке классифицируемые какони па пиара лань а аа ВнЗдыни",6,12 315 560,8457 336
5,8,"Финансовые активы, оцениваемые по амортизированнойакомикали. отта чаик  ",,28 637 975,41 197 918
6,9,‘средства в кредитных организациях и банках-нерезидентах.,10,20 345 110,27 676 306
7,10,займы выданные и прочие размещенные средства.,11,.6 894 759,.6 500 106
8,11,‘дебиторская задолженность.,12,1 398 106,7 021 506
9,17,Нематериальные активы.,18,30 380,27 074
10,18,Основные средства.,19,142 136,254 720
11,19,Требования по текущему налогу на прибыль.,48,249 063,39 323
12,20,Отложенные налоговые активы.,48.,124 394,40 388
13,21,Прочие.,20,101 994,124 369
14,22,Итого активов.,,43 715 630,51 128 887
15,Раздел И. Обязательства,,,,
16,23,"Финансовые обязательства, оцениваемые по справедливойотнести через прабьять им убыток, и том чистяс",,999 118,458 954
17,24,"‘финансовые обязательства, в обязательном порядке.классифицируемые как оцениваемые по справедливой стоимостизарое бы клети",21,999 11а,458 954
18,26,"Финансовые обязательства, оцениваемые по амортизированной:",,29 485 286,35 962 264
19,2т,‘средства клиентов.,23,6028 004,7 843 792
20,28,"кредиты, займы и прочие привлеченные средства.",24,23 321 617,27 388 860
21,0,‘кредиторская задолженность.,26,135 665,729 612
22,6,Прочие обязательства.,29,1 016 209,‘955 570
23,37,Итого обязательств., ,31 500 613,_37 376 788
24,Раздел И. Капитал.,,,,
25,38,Уставный капитал.,,1 527 840,1 527 840
26,39, ,7,9 102,9102
27,51,Нераспределенная прибыль (непокрытый убыток).,,10 678 075,12 215 157
28,52,Итого капитала.,,42 215 017,13 752 099
29,53,Итого капитала и обязательств.,,43 745 630,51 128 887
30,,,,,
31,,,,,
